init;fin;sequence;SAMPA;Mot ;CV/VC;C;V
حكى;مرتين;حكى فوء مرتين;fo:?;فوء;o:?;?;o:
حكى;مرتين;حكى شيء مرتين;Se:?;شيء;e:?;?;e:
حكى;مرتين;حكى جَاط مرتين;Za:t';جَاط;a:t';t';a:
حكى;مرتين;حكى حَط مرتين;X\at';حَط;at';t';a
حكى;مرتين;حكى لُوط مرتين;lu:t';لُوط;u:t';t';u:
حكى;مرتين;حكى حُط مرتين;X\ut';حُط;ut';t';u
حكى;مرتين;حكى شِيط مرتين;Si:t';شِيط;i:t';t';i:
حكى;مرتين;حكى غِط مرتين;Git';غِط;it';t';i
حكى;مرتين;حكى غوط مرتين;Go:t';غوط;o:t';t';o:
حكى;مرتين;حكى خيط مرتين;xe:t';خيط;e:t';t';e:
